question;answer
Cabang teknologi yang berhubungan dengan desain, konstruksi, operasi, disposisi struktural, pembuatan, dan aplikasi dari robot adalah?;Robotika
C++, Basic  dan Java merupakan bahasa pemrograman tingkat?;Tinggi
Aplikasi pengolah angka bawaan dari macOS bernama?;Numbers
START pseudocode<br><br>SET a = 5<br>SET b = 2<br>SET c = a + b<br>SET d = a - b<br>DISPLAY c, d<br><br>END pseudocode<br>Apakah output dari pseudocode diatas?;c=7, d=3
Istilah yang digunakan untuk halaman pada Microsoft Excel disebut dengan?;Sheet
Formula pada Microsoft Excel untuk menghitung berapa banyak data maupun argumen yang berupa angka pada sekumpulan cell atau range adalah?;COUNT
Bagian dari CPU yang berfungsi untuk menangani masalah perhitungan aritmatika dan proses angka adalah?;ALU
Perangkat Keras Komputer yang merupakan otak dari sebuah komputer yang mengontrol seluruh proses di komputer adalah?;Prosesor
Untuk mengetahui apakah komputer dalam jaringan sudah terhubung dengan komputer lain digunakan perintah?;Ping 
Ada berapa lapisan yang terdapat pada OSI layer?;7 
Alat yang memiliki fungsi ganda yaitu sebagai input dan output disebut?;Terminal
Proses pengaturan urutan eksekusi program atau proses dalam sistem komputer disebut?;scheduling
Setelah proses instalasi selesai, apa yang perlu dilakukan sebelum dapat menggunakan Linux?;Reboot
Antarmuka teks atau grafis yang digunakan oleh pengguna untuk berinteraksi dengan sistem operasi Linux adalah?;Shell
Komputer diambil dari kosa kata “To compute”. Kata tersebut diambil dari bahasa?;Bahasa inggris
Sistem bilangan yang memiliki 10 simbol angka adalah ?;Desimal
Simbol atau lambang yang digunakan untuk mewakili suatu bilangan disebut?;Angka
Himpunan bilangan real dan imajiner tersebut disebut dengan?;Bilangan Kompleks
Pada tahun berapakah generasi komputer yang ketiga dimulai?;1964
Siapakah tokoh yang dianggap sebagai "Bapak Komputer"?;Charles Babbage
Negara yang mempelopori perkembangan komputer generasi kelima adalah?;Jepang 
Pada generasi komputer ke-2, terjadi penggunaan komponen utama berupa?;Transistor
Berapa jumlah tabung vakum yang digunakan pada komputer ENIAC?;18.000
Processor Cyrix 486SLC adalah processor pada generasi ke?;Generasi ke-4
Berapa nilai dari 27 mod 3?;0 
Diketahui : <br>P = { x | 5 < x < 25,  x ⋲ bilangan prima }<br>Q = { x | 4 < x < 14,  x ⋲ bilangan ganjil }<br>Maka tentukanlah anggota dari A ∩ B?;A ∩ B = {7,11,13}
DEKLARASI<br>i : integer<br>DESKRIPSI<br>for i ← 3 to 5 do<br>write(i+2)<br>endfor<br>Output dari algoritma tersebut adalah?;5 6 7 
DEKLARASI<br>i 	: integer<br>sum : integer<br>Begin<br>i ← 0<br>sum ← 5<br>While(i < 5)<br>sum ← sum + i <br>i ← i + 1<br>endwhile<br>end<br>Output dari algoritma di atas adalah?;15
Secara default, Quick acces toolbar pada Microsoft Word berisi ikon?;Save, Undo, dan Redo
Untuk menyimpan suatu file dalam Microsoft Word, nama file maksimum berisi berapa karakter?;254
Tahun berapa HTML 1.0 dirilis?;1993
Tentukan banyaknya Permutasi yang terjadi jika akan disusun tiga huruf yang diambil dari abjad A,B,C,D,E!;60
Pada tahun berapa World Wide Web (WWW) diperkenalkan kepada publik?;1993
Komputer pada generasi kedua menggantikan bahasa mesin dengan bahasa?;Bahasa Assembly 
Jika A1 berisi nilai 70 dan pada sel B1 berisi formula =IF(A1>=70,”LULUS”,”TIDAK LULUS”), maka hasil yang didapat pada B1 adalah?;LULUS
Asisten digital yang disediakan oleh Apple bernama?;Siri

